subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,eval,ref_kind,view_kind,f0_hz,cap_hz,octave_step,half_bw
1,2,word_part_speech,1,-0.0,1.0,1.0,0.568100358422939,1.0,0.6202386916920389,2,1115,558,153000,per_session_robust_mad_cf,16.99173402786255,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_length,0,-0.0,1.0,1.0,0.6205714285714286,1.0,0.6751512491771418,2,1750,875,153000,per_session_robust_mad_cf,34.34240198135376,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,word_length,1,-0.0,1.0,1.0,0.632,1.0,0.6607159650167707,2,1750,875,153000,per_session_robust_mad_cf,28.03686785697937,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,global_flow,0,-0.0,1.0,1.0,0.5977142857142858,1.0,0.6357951161405598,2,1750,875,153000,per_session_robust_mad_cf,24.501696586608887,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,global_flow,1,-0.0,1.0,1.0,0.664,1.0,0.7047532470246491,2,1750,875,153000,per_session_robust_mad_cf,22.743389129638672,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,local_flow,0,-0.0,1.0,1.0,0.5817142857142857,1.0,0.6212030970815963,2,1750,875,153000,per_session_robust_mad_cf,23.51202178001404,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,local_flow,1,-0.0,1.0,1.0,0.6228571428571429,1.0,0.6699215280607713,2,1750,875,153000,per_session_robust_mad_cf,22.30624032020569,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,frame_brightness,0,-0.0,1.0,1.0,0.4331428571428571,1.0,0.4160945842868039,2,1750,875,153000,per_session_robust_mad_cf,24.315336227416992,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,frame_brightness,1,-0.0,1.0,1.0,0.4754285714285714,1.0,0.4625612572228665,2,1750,875,153000,per_session_robust_mad_cf,22.99020838737488,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,face_num,0,-0.0,1.0,1.0,0.5417142857142857,1.0,0.540526420279406,2,1750,875,153000,per_session_robust_mad_cf,23.002216815948486,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,face_num,1,-0.0,1.0,1.0,0.552,1.0,0.5560745222197842,2,1750,875,153000,per_session_robust_mad_cf,23.589760065078732,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
2,0,onset,0,-0.0,1.0,1.0,0.878419452887538,1.0,0.9467299821694184,2,1315,658,151725,per_session_robust_mad_cf,16.49936819076538,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
