subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,report_dir
2,0,face_num,0,0.0,1.0,1.0,0.3299028016009148,1.0,0.496850932706462,3,2988,1749,243712,train_set_fixed,663.1290490627289,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial0
2,4,onset,0,-0.0,1.0,1.0,0.642379679144385,1.0,0.703926156023907,2,2630,1496,243712,train_set_fixed,438.65574741363525,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,speech,0,-0.0,1.0,1.0,0.584,1.0,0.6151787755102041,2,3500,1750,243712,train_set_fixed,482.8100907802582,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,volume,0,-0.0,1.0,1.0,0.3699256718124643,1.0,0.5444966346856376,3,3498,1749,243712,train_set_fixed,476.8517158031464,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,delta_volume,0,-0.0,1.0,1.0,0.4379645511720983,1.0,0.6133129737453502,3,3498,1749,243712,train_set_fixed,480.3606705665589,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,pitch,0,-0.0,1.0,1.0,0.3550600343053173,1.0,0.5187978035966644,3,3498,1749,243712,train_set_fixed,494.1113965511322,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,word_index,0,-0.0,1.0,1.0,0.4110275689223057,1.0,0.5995245397327906,3,2865,1596,243712,train_set_fixed,373.3954212665558,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,word_gap,0,-0.0,1.0,1.0,0.3459119496855345,1.0,0.5142892238348401,3,3312,1749,243712,train_set_fixed,473.9630913734436,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,gpt2_surprisal,0,-0.0,1.0,1.0,0.3544882790165809,1.0,0.5225826176585101,3,3498,1749,243712,train_set_fixed,518.4292917251587,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
2,4,word_head_pos,0,-0.0,1.0,1.0,0.5062857142857143,1.0,0.5101779591836735,2,3500,1750,243712,train_set_fixed,450.0381391048432,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub2_trial4
